feature,semantic_type,dtype,missing_pct_actual,n_unique_actual,target_rate_when_missing,target_rate_when_present,analysis_method,top_values
count_30plus_dq_past_12m,low_cardinality_numeric,float32,0.0,13,,0.0024310409700240678,numeric_association,0.0: 13479855; 1.0: 239006; 2.0: 58371; 3.0: 29856; 4.0: 20592
count_60plus_dq_past_12m,low_cardinality_numeric,float32,0.0,13,,0.0024310409700240678,numeric_association,0.0: 13802486; 1.0: 31696; 2.0: 16501; 3.0: 12089; 4.0: 10264
max_dq_past_12m,numeric,float32,0.41401435687645194,43,,0.0024310409700240678,numeric_association,0.0: 13422242; 1.0: 322631; <NA>: 57613; 2.0: 41478; 3.0: 16685
is_current,low_cardinality_numeric,Int64,0.0,2,,0.0024310409700240678,numeric_association,1: 13793673; 0: 122028
is_30plus_dq,low_cardinality_numeric,Int64,0.0,2,,0.0024310409700240678,numeric_association,0: 13793673; 1: 122028
is_60plus_dq,low_cardinality_numeric,Int64,0.0,2,,0.0024310409700240678,numeric_association,0: 13867019; 1: 48682
prior_dq_num,numeric,float32,1.961740914094087,42,0.001688706546027327,0.0024462352712096343,numeric_association,0.0: 13523468; <NA>: 272990; 1.0: 71810; 2.0: 14941; 3.0: 6996
dq_status_change,numeric,float32,1.961740914094087,50,0.001688706546027327,0.0024462352712096343,numeric_association,0.0: 13508686; <NA>: 272990; 1.0: 85214; -1.0: 39968; -2.0: 3500
dq_status_worsened,low_cardinality_numeric,Int64,0.0,2,,0.0024310409700240678,numeric_association,0: 13829867; 1: 85834
upb_ratio,numeric,float32,0.0,3487294,,0.0024310409700240678,numeric_association,1.0: 359154; 0.0: 57632; 0.99: 14877; 0.99333334: 9344; 0.9916667: 8151
paydown_pct,numeric,float32,0.0,3486526,,0.0024310409700240678,numeric_association,0.0: 359154; 1.0: 57634; 0.00999999: 14877; 0.0066666603: 9344; 0.008333325: 8151
future_serious_dq_6m,target,float64,2.1952325649997797,2,,0.0024310409700240678,target,0.0: 13577132; <NA>: 305482; 1.0: 33087
reporting_year,date_or_time,int32,0.0,5,,0.0024310409700240678,numeric_association,2022: 3027778; 2023: 2887929; 2024: 2772446; 2025: 2651928; 2021: 2575620
reporting_month,date_or_time,int32,0.0,12,,0.0024310409700240678,numeric_association,6: 1218966; 7: 1213699; 8: 1208574; 9: 1203031; 10: 1197622
reporting_quarter,date_or_time,object,0.0,20,,0.0024310409700240678,categorical_or_date_association,2021Q3: 810880; 2021Q4: 794988; 2022Q1: 777149; 2022Q2: 762107; 2022Q3: 749019
origination_year,date_or_time,int32,0.0,4,,0.0024310409700240678,numeric_association,2021: 11708441; 2020: 2205213; 2019: 2043; 2018: 4
origination_quarter,date_or_time,object,0.0,10,,0.0024310409700240678,categorical_or_date_association,2021Q1: 7314313; 2021Q2: 4394128; 2020Q4: 2165409; 2020Q3: 32643; 2020Q2: 4815
loan_month_key,identifier,object,0.0,13915701,,0.0024310409700240678,identifier_review,000122128334_2021_01: 1; 000122128334_2023_04: 1; 000122128334_2023_02: 1; 000122128334_2022_01: 1; 000122128334_2021_03: 1
