feature,semantic_type,pearson_r,pearson_abs_r,pearson_p_value,pearson_n,spearman_rho_sample,spearman_abs_rho_sample,spearman_p_value_sample,missing_pct_actual,n_unique_actual,association_score,cramers_v_sample,top_reliable_category_lift_vs_base_sample,n_unique_sample,chi_square_p_value_sample,association_computed_on_sample,top_reliable_target_rate_category_sample,top_reliable_category_target_rate_sample,eda_recommendation,reason
loan_purpose,categorical,,,,,,,,0.0,3,0.027460755982664797,0.027460755982664797,1.8378943176732256,3.0,1.1552871413705265e-41,True,P,0.004668251566889993,candidate,Usable for modeling after preprocessing and leakage review.
first_time_home_buyer_indicator,categorical,,,,,,,,0.0,2,0.02474438931147332,0.02474438931147332,2.2449994672488307,2.0,3.695831329465297e-35,True,Y,0.005702298646812031,candidate,Usable for modeling after preprocessing and leakage review.
dti,numeric,0.023175660221152992,0.023175660221152992,0.0,13609836.0,0.023226757602629766,0.023226757602629766,3.4699752403046445e-31,0.0028140619926835856,51,0.023226757602629766,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
remaining_months_to_legal_maturity,date_or_time,0.023083037250273934,0.023083037250273934,0.0,13610219.0,0.01660757826074494,0.01660757826074494,1.0039251283250649e-16,0.0,393,0.023083037250273934,,,,,,,,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
servicer_name,categorical,,,,,,,,5.1431942425026374e-05,44,0.022502801771512593,0.022502801771512593,4.155153429040367,44.0,3.6274067425846953e-10,True,NewRez LLC,0.010554089709762533,candidate,Usable for modeling after preprocessing and leakage review.
number_of_borrowers,low_cardinality_numeric,-0.01969242786342023,0.01969242786342023,0.0,13610219.0,-0.021502217514526925,0.021502217514526925,5.780328606172804e-27,0.0,5,0.021502217514526925,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
paydown_pct,numeric,-0.01959726405805013,0.01959726405805013,0.0,13610219.0,-0.02116647309768222,0.02116647309768222,3.5214428139727247e-26,0.0,3421859,0.02116647309768222,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
upb_ratio,numeric,0.019597264059535394,0.019597264059535394,0.0,13610219.0,0.021166473097682218,0.021166473097682218,3.5214428139727746e-26,0.0,3422550,0.021166473097682218,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
remaining_months_to_maturity,date_or_time,0.019775144475562004,0.019775144475562004,0.0,13594996.0,0.01837939160506432,0.01837939160506432,4.098351328933765e-20,0.11184977993373948,360,0.019775144475562004,,,,,,,,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
original_loan_term,numeric,0.019163642982249787,0.019163642982249787,0.0,13610219.0,0.018223594374443357,0.018223594374443357,8.04989497043046e-20,0.0,227,0.019163642982249787,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
property_state,categorical,,,,,,,,0.0,54,0.01844529409576862,0.01844529409576862,2.919391432003203,53.0,0.002591228772358804,True,LA,0.007415254237288136,candidate,Usable for modeling after preprocessing and leakage review.
seller_name,categorical,,,,,,,,8.816904415718807e-05,32,0.018419481838167183,0.018419481838167183,2.129756964305273,32.0,6.753833997412374e-07,True,"Broker Solutions, Inc. dba New American Funding",0.005409582689335394,candidate,Usable for modeling after preprocessing and leakage review.
mortgage_insurance_percentage,numeric,0.013022252258135563,0.013022252258135563,5.405144807868591e-96,2548430.0,0.005184832771225679,0.005184832771225679,0.2605827960780703,81.27561356654144,17,0.013022252258135563,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
channel,categorical,,,,,,,,0.0,3,0.012424323622838311,0.012424323622838311,1.3649619475434867,3.0,4.169468840501644e-09,True,C,0.003467003346760456,candidate,Usable for modeling after preprocessing and leakage review.
current_actual_upb,numeric,0.00673381222480104,0.00673381222480104,3.1025810440059024e-136,13610219.0,0.007645455000924333,0.007645455000924333,0.0001319639355278592,0.0,7503227,0.007645455000924333,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
occupancy_status,categorical,,,,,,,,0.0,3,0.007120793733289666,0.007120793733289666,1.0434348293831524,3.0,0.0017674579979584804,True,P,0.0026503244666332072,candidate,Usable for modeling after preprocessing and leakage review.
property_type,categorical,,,,,,,,0.0,5,0.006785863430445298,0.006785863430445298,2.4046133600318282,5.0,0.02137436703345074,True,MH,0.006107717934480844,candidate,Usable for modeling after preprocessing and leakage review.
original_upb,numeric,0.0033426754702795053,0.0033426754702795053,6.10354820631815e-35,13610219.0,0.004419802144738885,0.004419802144738885,0.027112046650785145,0.0,893,0.004419802144738885,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
loan_age,numeric,0.0029409177727637587,0.0029409177727637587,2.0015710824072712e-27,13610219.0,0.0016528914676340431,0.0016528914676340431,0.40855331245080373,0.0,68,0.0029409177727637587,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
number_of_units,low_cardinality_numeric,0.00023608423114852752,0.00023608423114852752,0.38377457806650783,13610219.0,0.0017296312077681969,0.0017296312077681969,0.3871420239810842,0.0,4,0.0017296312077681969,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
