feature,semantic_type,missing_pct,n_unique,eda_recommendation,reason
field_088,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_089,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_090,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_091,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_092,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_093,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_094,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_095,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_096,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_097,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_098,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_099,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_100,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_101,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_104,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_107,low_cardinality_numeric,95.3651,4,exclude_until_mapped,Raw field without a confirmed business definition.
field_109,low_cardinality_numeric,0.0,1,exclude_until_mapped,Raw field without a confirmed business definition.
field_110,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_112,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_113,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
is_30plus_dq,low_cardinality_numeric,0.0,2,candidate,Usable for modeling after preprocessing and leakage review.
is_60plus_dq,low_cardinality_numeric,0.0,2,candidate,Usable for modeling after preprocessing and leakage review.
is_90plus_dq,low_cardinality_numeric,0.0,2,candidate,Usable for modeling after preprocessing and leakage review.
is_current,low_cardinality_numeric,0.0,2,candidate,Usable for modeling after preprocessing and leakage review.
master_servicer,low_cardinality_numeric,100.0,0,drop_or_keep_only_with_strong_reason,Mostly missing in the panel.
mortgage_insurance_cancellation_indicator,low_cardinality_numeric,100.0,0,drop_or_keep_only_with_strong_reason,Mostly missing in the panel.
mortgage_insurance_percentage,low_cardinality_numeric,63.5456,8,candidate,Usable for modeling after preprocessing and leakage review.
number_of_borrowers,low_cardinality_numeric,0.0,4,candidate,Usable for modeling after preprocessing and leakage review.
number_of_units,low_cardinality_numeric,0.0,4,candidate,Usable for modeling after preprocessing and leakage review.
scheduled_principal_current,low_cardinality_numeric,100.0,0,drop_or_keep_only_with_strong_reason,Mostly missing in the panel.
unscheduled_principal_current,low_cardinality_numeric,100.0,0,drop_or_keep_only_with_strong_reason,Mostly missing in the panel.
upb_at_issuance,low_cardinality_numeric,100.0,0,drop_or_keep_only_with_strong_reason,Mostly missing in the panel.
borrower_credit_score_at_origination,numeric,0.0262,211,candidate,Usable for modeling after preprocessing and leakage review.
co_borrower_credit_score_at_origination,numeric,56.668600000000005,211,candidate,Usable for modeling after preprocessing and leakage review.
current_actual_upb,numeric,0.0,816349,candidate,Usable for modeling after preprocessing and leakage review.
current_dq_num,numeric,9.999999999999999e-05,67,candidate,Usable for modeling after preprocessing and leakage review.
current_interest_rate,numeric,1.7287000000000001,416,candidate,Usable for modeling after preprocessing and leakage review.
dq_status_change,numeric,2.6504,54,candidate,Usable for modeling after preprocessing and leakage review.
dti,numeric,0.0,47,candidate,Usable for modeling after preprocessing and leakage review.
field_057,numeric,99.9979,19,exclude_until_mapped,Raw field without a confirmed business definition.
field_058,numeric,99.9979,18,exclude_until_mapped,Raw field without a confirmed business definition.
